"Player","Team","Position","Rk","Status","Roster Status","Opponent","Salary","Contract","FPts","FP/G","Bye","% Owned"
"Lamar Jackson","BAL","QB","1","NE","Active","Bye","28","AUCT","506.05","33.74","null","100%"
"Dak Prescott","DAL","QB","2","HAR","Active","Bye","15","AUCT","454.95","28.43","null","100%"
"Russell Wilson","SEA","QB","3","MARS","Active","Bye","32","AUCT","427.95","26.75","null","100%"
"Deshaun Watson","HOU","QB","4","FLU","Active","Bye","7","2YR","420.6","28.04","null","100%"
"Christian McCaffrey","CAR","RB","5","NE","Active","Bye","99","AUCT","411.45","25.72","null","100%"
"Jameis Winston","(N/A)","QB","6","CR","Active","Bye","14","AUCT","410.75","25.67","","100%"
"Patrick Mahomes","KC","QB","7","CR","Active","Bye","12","2YR","385.7","27.55","null","100%"
"Matt Ryan","ATL","QB","8","VA","Active","Bye","48","1YR","382.8","25.52","null","100%"
"Kyler Murray","ARI","QB","9","FLU","Active","Bye","16","ROOK","381.05","23.82","null","100%"
"Carson Wentz","PHI","QB","10","MARS","Reserve","Bye","14","1YR","375.05","23.44","null","100%"
"Aaron Rodgers","GB","QB","11","HAR","Active","Bye","52","AUCT","372.8","23.3","null","100%"
"Tom Brady","TB","QB","12","YON","Active","Bye","18","AUCT","355.3","22.21","null","100%"
"Josh Allen","BUF","QB","13","OAK","Reserve","Bye","9","AUCT","353.8","22.11","null","100%"
"Jared Goff","LAR","QB","14","LIC","Reserve","Bye","8","2YR","352.65","22.04","null","100%"
"Jimmy Garoppolo","SF","QB","15","LIC","Active","Bye","14","AUCT","349.15","21.82","null","100%"
"Philip Rivers","IND","QB","16","CR","Reserve","Bye","17","AUCT","345.6","21.6","null","67%"
"New England","null","DST","17","HAR","Active","Bye","1","AUCT","334.32","20.89","null","100%"
"Kirk Cousins","MIN","QB","18","OAK","Active","Bye","23","AUCT","333.95","22.26","null","100%"
"Ryan Fitzpatrick","MIA","QB","19","FLU","Reserve","Bye","2","WAVR","321.45","21.43","null","67%"
"Drew Brees","NO","QB","20","MARS","Active","Bye","35","AUCT","316.95","28.81","null","100%"
"Baker Mayfield","CLE","QB","21","GK","Active","Bye","5","3YR","309.6","19.35","null","100%"
"Gardner Minshew II","JAX","QB","22","LIC","Active","Bye","2","WAVR","299.45","21.39","null","100%"
"Derrick Henry","TEN","RB","23","VA","Reserve","Bye","30","AUCT","298.35","19.89","null","100%"
"Aaron Jones","GB","RB","24","MARS","Active","Bye","7","3YR","295.3","18.46","null","100%"
"Ezekiel Elliott","DAL","RB","25","GK","Active","Bye","78","AUCT","294.95","18.43","null","100%"
"Ryan Tannehill","TEN","QB","26","VA","Active","Bye","11","WAVR","293.7","24.47","null","100%"
"Jacoby Brissett","IND","QB","27","NE","Active","Bye","6","AUCT","287.4","19.16","null","83%"
